规则编号,前项(X),后项(Y),前项支持度,后项支持度,规则支持度,置信度,提升度
R1,"超市购物, 其他",餐饮美食,0.066,0.115,0.033,0.500,4.357
R2,"超市购物, 交通出行",餐饮美食,0.066,0.115,0.033,0.500,4.357
R3,其他,"餐饮美食, 超市购物",0.082,0.098,0.033,0.400,4.067
R4,"餐饮美食, 超市购物",其他,0.098,0.082,0.033,0.333,4.067
R5,交通出行,"餐饮美食, 超市购物",0.082,0.098,0.033,0.400,4.067
R6,"餐饮美食, 超市购物",交通出行,0.098,0.082,0.033,0.333,4.067
R7,其他,餐饮美食,0.082,0.115,0.033,0.400,3.486
R8,交通出行,餐饮美食,0.082,0.115,0.033,0.400,3.486
R9,"餐饮美食, 其他",超市购物,0.033,0.934,0.033,1.000,1.070
R10,"餐饮美食, 交通出行",超市购物,0.033,0.934,0.033,1.000,1.070
